%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
2.0, -6.8253173828125, -17.386795043945312, -14.005925178527832, -22.562816619873047, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351081997182E9, 2021-02-14 20:04:41.997
2.0, -4.248526573181152, -10.40066146850586, -6.0511579513549805, -6.19327449798584, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351081997182E9, 2021-02-14 20:04:41.997
3.0, -0.4001692831516266, -3.2724125385284424, -3.9792535305023193, -1.7465332746505737, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351082010746E9, 2021-02-14 20:04:42.010
3.0, -8.949580192565918, -19.245525360107422, -23.187379837036133, -22.229965209960938, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351082010746E9, 2021-02-14 20:04:42.010
4.0, -8.586810111999512, -7.117029666900635, -7.793951511383057, -9.1141357421875, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351082011469E9, 2021-02-14 20:04:42.011
4.0, 3.8483569622039795, -2.524432420730591, 0.721800684928894, 1.6492959260940552, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351082011469E9, 2021-02-14 20:04:42.011
5.0, -7.737853050231934, -20.352535247802734, -26.29897689819336, -25.625795364379883, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351082025147E9, 2021-02-14 20:04:42.025
5.0, -3.8446171283721924, -6.757999420166016, -8.822423934936523, -8.7999849319458, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351082025147E9, 2021-02-14 20:04:42.025
6.0, -1.5183993577957153, -1.5969372987747192, 1.522139310836792, -0.45252788066864014, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351082040808E9, 2021-02-14 20:04:42.040
6.0, -8.564371109008789, -14.219099998474121, -15.206433296203613, -19.342761993408203, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351082040808E9, 2021-02-14 20:04:42.040
