%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, 19.95236587524414, 26.600038528442383, 27.20403289794922, 26.775814056396484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213236317E9, 2021-02-14 20:06:53.236
1.0, 9.050558090209961, 8.599900245666504, 6.799138069152832, 8.106233596801758, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213237611E9, 2021-02-14 20:06:53.237
1.0, 16.575237274169922, 20.040254592895508, 16.118968963623047, 15.60847282409668, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213237611E9, 2021-02-14 20:06:53.237
2.0, 17.510211944580078, 21.532474517822266, 19.91122817993164, 30.990680694580078, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61335121324995E9, 2021-02-14 20:06:53.249
2.0, 17.110042572021484, 22.19817543029785, 16.664993286132812, 16.109619140625, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61335121324995E9, 2021-02-14 20:06:53.249
3.0, 15.793597221374512, 19.363332748413086, 12.618422508239746, 14.624878883361816, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213265461E9, 2021-02-14 20:06:53.265
3.0, 12.32671070098877, 24.875944137573242, 15.75993824005127, 21.102384567260742, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213265461E9, 2021-02-14 20:06:53.265
4.0, 18.089895248413086, 27.142324447631836, 26.695405960083008, 27.419076919555664, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213266932E9, 2021-02-14 20:06:53.266
4.0, 7.891189098358154, 13.536567687988281, 3.2237937450408936, 9.381539344787598, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213266932E9, 2021-02-14 20:06:53.266
5.0, 16.238645553588867, 18.884624481201172, 17.173620223999023, 20.13749122619629, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213279959E9, 2021-02-14 20:06:53.279
5.0, 20.27773666381836, 27.325578689575195, 28.464378356933594, 28.780399322509766, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213279959E9, 2021-02-14 20:06:53.279
6.0, 10.288464546203613, 10.828880310058594, 5.422854900360107, 5.8211541175842285, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213280667E9, 2021-02-14 20:06:53.280
6.0, 15.68887996673584, 19.3259334564209, 12.480046272277832, 10.615706443786621, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213280667E9, 2021-02-14 20:06:53.280
7.0, 22.746070861816406, 27.172243118286133, 22.51045799255371, 29.69667625427246, 0.04800000041723251, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613351213294979E9, 2021-02-14 20:06:53.294
